,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
448,2019120812,2019-12-08,4,15,0,TEN,LV,1,10,71,,1,,0,(15:00) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 11-A.BROWN TO OAK 17 FOR 12 YARDS (20-D.WORLEY).,0,,,2019,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,29,OPP,0,,0,,0
450,2019120812,2019-12-08,3,0,53,TEN,LV,2,4,60,,0,,0,(:53) (NO HUDDLE) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 11-A.BROWN (26-N.LAWSON).,0,,,2019,0,NO HUDDLE,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,40,OPP,0,,0,,0
1535,2019120812,2019-12-08,2,14,16,TEN,LV,1,10,9,,1,,0,"(14:16) 17-R.TANNEHILL PASS DEEP MIDDLE TO 11-A.BROWN FOR 91 YARDS, TOUCHDOWN [96-C.FERRELL].",0,,,2019,91,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,9,OWN,0,,0,,0
1541,2019120812,2019-12-08,2,0,24,TEN,LV,1,10,25,,0,,0,"(:24) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT LEFT TO 11-A.BROWN [95-D.JORDAN]. PENALTY ON OAK-29-L.JOYNER, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT TEN 25 - NO PLAY.",0,,,2019,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,1,0,0,,25,OWN,1,OAK,1,DEFENSIVE HOLDING,5
1555,2019120812,2019-12-08,3,2,50,TEN,LV,2,4,22,,0,,0,(2:50) (NO HUDDLE) 17-R.TANNEHILL PASS INCOMPLETE SHORT MIDDLE TO 11-A.BROWN (20-D.WORLEY).,0,,,2019,0,NO HUDDLE,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,22,OWN,0,,0,,0
2464,2019122210,2019-12-22,4,1,57,TEN,NO,3,10,59,,0,,0,(1:57) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP MIDDLE TO 11-A.BROWN.,0,,,2019,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
3320,2019121507,2019-12-15,2,1,35,TEN,HOU,1,10,52,,1,,0,"(1:35) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 11-A.BROWN RAN OB AT HOU 37 FOR 11 YARDS.",0,,,2019,11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
5643,2019120103,2019-12-01,1,6,35,TEN,IND,1,10,72,,1,,0,"(6:35) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 11-A.BROWN TO IND 15 FOR 13 YARDS (35-P.DESIR).",0,,,2019,13,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
5917,2019120103,2019-12-01,4,11,27,TEN,IND,1,10,50,,0,,0,"(11:27) (NO HUDDLE) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 11-A.BROWN (35-P.DESIR). INDIANAPOLIS CHALLENGED THE INCOMPLETE PASS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,,,2019,0,NO HUDDLE,PASS,0,1,1,0,SHORT RIGHT,0,1,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
7887,2019111702,2019-11-17,4,6,32,DET,DAL,2,10,54,,1,,0,(6:32) (SHOTGUN) 2-J.DRISKEL PASS DEEP RIGHT TO 80-D.AMENDOLA TO DAL 25 FOR 21 YARDS (95-C.COVINGTON). DAL-30-A.BROWN WAS INJURED DURING THE PLAY.,0,,,2019,21,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,46,OPP,0,,0,,0
