,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
222,2013090800,9/8/13,1,14,56,NE,BUF,1,5,19,,1,,0,"(14:56) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 29 FOR 10 YARDS (26-J.ROGERS). SLANT PATTERN, CAUGHT AT NE 25, CROSSING TO MIDDLE.",0,,,2013,10,UNDER CENTER,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,19,OWN,0.0,,0.0,,0.0
225,2013090800,9/8/13,1,13,42,NE,BUF,3,7,32,,1,,0,(13:42) (SHOTGUN) 12-T.BRADY PASS DEEP MIDDLE TO 80-D.AMENDOLA TO BUF 44 FOR 24 YARDS (33-R.BROOKS). CAUGHT IN STRIDE AT 50.,0,,,2013,24,SHOTGUN,PASS,0,1,0.0,0,DEEP MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,32,OWN,0.0,,0.0,,0.0
266,2013090800,9/8/13,1,1,8,NE,BUF,3,4,31,,1,,0,"(1:08) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 37 FOR 6 YARDS (21-L.MCKELVIN). SLANT PATTERN, CAUGHT AT NE 33.",0,,,2013,6,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,31,OWN,0.0,,0.0,,0.0
344,2013090800,9/8/13,3,9,32,NE,BUF,3,3,47,,1,,0,"(9:32) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO BUF 47 FOR 6 YARDS (26-J.ROGERS). CAUGHT AT BUF 49, SLANTING TO MIDDLE.",0,,,2013,6,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,47,OWN,0.0,,0.0,,0.0
350,2013090800,9/8/13,3,6,17,NE,BUF,3,6,76,,1,,0,(6:17) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO BUF 5 FOR 19 YARDS (35-J.LEONHARD). CAUGHT AT BUF 13.,0,,,2013,19,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,24,OPP,0.0,,0.0,,0.0
393,2013090800,9/8/13,4,8,32,NE,BUF,3,10,14,,1,,0,"(8:32) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO NE 27 FOR 13 YARDS (23-A.WILLIAMS). CAUGHT AT NE 26, SLANTING TO LEFT.",0,,,2013,13,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,14,OWN,0.0,,0.0,,0.0
405,2013090800,9/8/13,4,3,12,NE,BUF,3,3,41,,1,,0,(3:12) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO NE 47 FOR 6 YARDS (35-J.LEONHARD). CAUGHT AT NE 45.,0,,,2013,6,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,41,OWN,0.0,,0.0,,0.0
407,2013090800,9/8/13,4,2,3,NE,BUF,2,4,53,,1,,0,"(2:03) (SHOTGUN) 12-T.BRADY PASS SHORT LEFT TO 80-D.AMENDOLA TO BUF 41 FOR 6 YARDS (53-N.BRADHAM, 23-A.WILLIAMS). CAUGHT AT BUF 43.",0,,,2013,6,SHOTGUN,PASS,0,1,0.0,0,SHORT LEFT,0,0,0,,0.0,0,0,0,0.0,0,,47,OPP,0.0,,0.0,,0.0
410,2013090800,9/8/13,4,1,58,NE,BUF,1,15,54,,0,,0,(1:58) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO BUF 42 FOR 4 YARDS (35-J.LEONHARD). CAUGHT AT BUF 43.,0,,,2013,4,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,46,OPP,0.0,,0.0,,0.0
412,2013090800,9/8/13,4,1,20,NE,BUF,3,8,61,,1,,0,(1:20) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO BUF 29 FOR 10 YARDS (23-A.WILLIAMS). CAUGHT AT BUF 30.,0,,,2013,10,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,39,OPP,0.0,,0.0,,0.0
11914,2013100601,10/6/13,2,15,0,NE,CIN,1,10,8,,0,,0,(15:00) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 15 FOR 7 YARDS (55-V.BURFICT).,0,,,2013,7,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,8,OWN,0.0,,0.0,,0.0
11942,2013100601,10/6/13,2,3,8,NE,CIN,1,10,21,,1,,0,(3:08) (SHOTGUN) 12-T.BRADY PASS SHORT LEFT TO 80-D.AMENDOLA RAN OB AT NE 32 FOR 11 YARDS.,0,,,2013,11,SHOTGUN,PASS,0,1,0.0,0,SHORT LEFT,0,0,0,,0.0,0,0,0,0.0,0,,21,OWN,0.0,,0.0,,0.0
11957,2013100601,10/6/13,2,0,37,NE,CIN,1,10,51,,1,,0,(:37) (SHOTGUN) 12-T.BRADY PASS DEEP MIDDLE TO 80-D.AMENDOLA TO CIN 28 FOR 21 YARDS (32-C.CROCKER).,0,,,2013,21,SHOTGUN,PASS,0,1,0.0,0,DEEP MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,49,OPP,0.0,,0.0,,0.0
12019,2013100601,10/6/13,4,7,57,NE,CIN,1,10,83,,1,,0,(7:57) (SHOTGUN) 12-T.BRADY PASS DEEP LEFT TO 80-D.AMENDOLA TO CIN 1 FOR 16 YARDS (32-C.CROCKER).,0,,,2013,16,SHOTGUN,PASS,0,1,0.0,0,DEEP LEFT,0,0,0,,0.0,0,0,0,0.0,0,,17,OPP,0.0,,0.0,,0.0
16009,2013101310,10/13/13,1,8,31,NE,NO,2,5,16,,0,,0,(8:31) (NO HUDDLE) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 17 FOR 1 YARD (27-M.JENKINS).,0,,,2013,1,NO HUDDLE,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,16,OWN,0.0,,0.0,,0.0
16050,2013101310,10/13/13,2,9,31,NE,NO,1,10,68,,0,,0,(9:31) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NO 33 FOR -1 YARDS (27-M.JENKINS; 50-C.LOFTON).,0,,,2013,-1,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,32,OPP,0.0,,0.0,,0.0
20221,2013102703,10/27/13,1,1,8,NE,MIA,3,1,20,,1,,0,"(1:08) (NO HUDDLE, SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 23 FOR 3 YARDS (27-J.WILSON).",0,,,2013,3,NO HUDDLE SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,20,OWN,0.0,,0.0,,0.0
20252,2013102703,10/27/13,2,5,5,NE,MIA,1,10,77,,0,,0,(5:05) (SHOTGUN) 12-T.BRADY PASS SHORT LEFT TO 80-D.AMENDOLA PUSHED OB AT MIA 19 FOR 4 YARDS (30-C.CLEMONS).,0,,,2013,4,SHOTGUN,PASS,0,1,0.0,0,SHORT LEFT,0,0,0,,0.0,0,0,0,0.0,0,,23,OPP,0.0,,0.0,,0.0
20293,2013102703,10/27/13,3,7,10,NE,MIA,2,7,90,,1,,0,(7:10) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO MIA 2 FOR 8 YARDS (27-J.WILSON).,0,,,2013,8,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,10,OPP,0.0,,0.0,,0.0
23652,2013110309,11/3/13,1,4,6,NE,PIT,1,10,66,,1,,0,"(4:06) 12-T.BRADY PASS DEEP LEFT TO 80-D.AMENDOLA FOR 34 YARDS, TOUCHDOWN.",0,,,2013,34,UNDER CENTER,PASS,0,1,0.0,1,DEEP LEFT,0,0,0,,0.0,0,0,0,0.0,0,,34,OPP,0.0,,0.0,,0.0
23690,2013110309,11/3/13,2,6,13,NE,PIT,1,10,33,,1,,0,(6:13) 12-T.BRADY PASS DEEP LEFT TO 80-D.AMENDOLA RAN OB AT PIT 10 FOR 57 YARDS.,0,,,2013,57,UNDER CENTER,PASS,0,1,0.0,0,DEEP LEFT,0,0,0,,0.0,0,0,0,0.0,0,,33,OWN,0.0,,0.0,,0.0
23724,2013110309,11/3/13,3,13,41,NE,PIT,3,6,25,,1,,0,(13:41) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 35 FOR 10 YARDS (29-S.THOMAS). NE-80 AMENDOLA 4TH CAREER 100-YARD GAME.,0,,,2013,10,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,25,OWN,0.0,,0.0,,0.0
23752,2013110309,11/3/13,3,4,47,NE,PIT,1,10,67,,1,,0,"(4:47) 12-T.BRADY PASS DEEP RIGHT TO 80-D.AMENDOLA TO PIT 12 FOR 21 YARDS (24-I.TAYLOR). NE 12-BRADY 55TH CAREER 300-YARD GAME, 5TH MOST ALL-TIME.",0,,,2013,21,UNDER CENTER,PASS,0,1,0.0,0,DEEP RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,33,OPP,0.0,,0.0,,0.0
29226,2013111800,11/18/13,1,13,25,NE,CAR,1,10,30,,0,,0,(13:25) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 33 FOR 3 YARDS (23-M.WHITE).,0,,,2013,3,UNDER CENTER,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,30,OWN,0.0,,0.0,,0.0
29251,2013111800,11/18/13,1,2,2,NE,CAR,3,7,23,,1,,0,(2:02) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO NE 32 FOR 9 YARDS (58-T.DAVIS).,0,,,2013,9,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,23,OWN,0.0,,0.0,,0.0
29254,2013111800,11/18/13,1,0,48,NE,CAR,3,4,38,,1,,0,(:48) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO NE 44 FOR 6 YARDS (59-L.KUECHLY).,0,,,2013,6,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,38,OWN,0.0,,0.0,,0.0
29258,2013111800,11/18/13,2,14,24,NE,CAR,2,19,48,,0,,0,(14:24) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 80-D.AMENDOLA TO CAR 39 FOR 13 YARDS (58-T.DAVIS).,0,,,2013,13,SHOTGUN,PASS,0,1,0.0,0,SHORT RIGHT,0,0,0,,0.0,0,0,0,0.0,0,,48,OWN,0.0,,0.0,,0.0
29286,2013111800,11/18/13,2,2,20,NE,CAR,2,25,59,,0,,0,(2:20) (SHOTGUN) 12-T.BRADY PASS SHORT LEFT TO 80-D.AMENDOLA TO CAR 38 FOR 3 YARDS (58-T.DAVIS).,0,,,2013,3,SHOTGUN,PASS,0,1,0.0,0,SHORT LEFT,0,0,0,,0.0,0,0,0,0.0,0,,41,OPP,0.0,,0.0,,0.0
29373,2013111800,11/18/13,4,0,35,NE,CAR,2,10,43,,1,,0,"(:35) (NO HUDDLE, SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO CAR 46 FOR 11 YARDS (58-T.DAVIS).",0,,,2013,11,NO HUDDLE SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,43,OWN,0.0,,0.0,,0.0
31624,2013112411,11/24/13,2,11,14,NE,DEN,3,13,62,,0,,0,(11:14) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 80-D.AMENDOLA TO DEN 30 FOR 8 YARDS (52-W.WOODYARD; 33-D.IHENACHO). DEN-33-D.IHENACHO WAS INJURED DURING THE PLAY.,0,,,2013,8,SHOTGUN,PASS,0,1,0.0,0,SHORT MIDDLE,0,0,0,,0.0,0,0,0,0.0,0,,38,OPP,0.0,,0.0,,0.0
